anchor_index,anchor_label,weight
1073,6,5.7048055e-08
2861,6,5.729679e-08
3142,4,6.752046e-07
2684,6,5.6665296e-08
369,5,4.399575e-06
2109,4,4.8270346e-07
5509,1,2.1427202e-06
2784,1,6.3894663e-07
904,3,5.079886e-06
1331,6,5.6815406e-08
3201,4,1.1645612e-06
5514,6,5.7097093e-08
2086,5,2.0467196e-05
5505,3,4.0699824e-06
3749,3,2.9797816e-06
1468,6,5.6679134e-08
2078,6,5.7162037e-08
623,6,5.7196722e-08
3125,2,7.193811e-07
2564,1,5.153693e-07
394,6,5.71887e-08
1928,6,5.7112235e-08
1863,6,5.6966993e-08
4307,6,5.715517e-08
3592,4,4.1611045e-07
4958,6,5.7221e-08
36,1,4.639339e-07
3894,3,2.60382e-06
4522,1,3.883187e-07
3915,6,5.7097804e-08
6006,6,5.7066828e-08
157,3,3.4401348e-06
6110,6,5.7112562e-08
899,3,3.3939978e-06
4551,1,5.6954747e-07
2263,3,2.4113284e-05
4783,1,7.7524743e-07
2715,4,5.068482e-07
1307,6,5.7378102e-08
3137,1,6.732435e-07
281,4,1.057689e-06
1591,6,5.659239e-08
114,4,6.64259e-06
1768,2,1.0040199e-06
2234,4,2.0521502e-06
3563,3,1.3065555e-05
898,5,7.307822e-05
328,5,1.4045182e-05
5763,3,1.7212512e-06
5753,2,5.767922e-07
1164,6,5.7101776e-08
187,6,5.7311166e-08
4540,3,4.598076e-05
5442,6,5.6953088e-08
4866,5,4.4607514e-06
4548,4,4.7879723e-07
2915,2,7.132303e-07
199,6,5.7296734e-08
3792,2,8.198105e-07
3748,6,5.767083e-08
5276,6,5.6953198e-08
4741,3,4.14999e-06
4692,6,5.6478143e-08
1140,1,7.377637e-07
5633,3,1.1581801e-05
4462,1,3.5069965e-07
449,1,5.802089e-07
5126,6,5.7114416e-08
191,6,5.731674e-08
4868,5,1.0701052e-05
5776,5,3.7063637e-05
3115,4,3.801193e-07
4541,4,1.3822572e-06
4203,6,5.69921e-08
4962,6,5.7245394e-08
471,6,5.7313517e-08
2515,6,5.719901e-08
4720,6,5.7006012e-08
4487,6,5.708544e-08
2419,4,1.6029649e-06
296,3,8.48194e-06
2651,5,2.4714442e-05
4393,4,1.997978e-06
5575,3,1.3510572e-05
5462,6,5.681481e-08
4043,1,9.499508e-07
696,3,2.5726013e-06
183,6,5.7271496e-08
3156,6,5.714547e-08
4601,6,5.702891e-08
71,6,5.7532734e-08
4484,2,1.5464934e-06
5135,3,1.8870447e-05
752,3,2.252041e-06
3289,6,5.716422e-08
5659,6,5.708544e-08
4028,6,5.7278818e-08
2024,5,1.8913272e-05
2614,4,1.2851461e-06
1962,6,5.7146774e-08
329,1,8.927929e-07
84,6,5.7193773e-08
