dataset_id,dataset_name,n_folds,accuracy_n,accuracy_mean,accuracy_std,f1_macro_n,f1_macro_mean,f1_macro_std,f1_micro_n,f1_micro_mean,f1_micro_std,precision_macro_n,precision_macro_mean,precision_macro_std,recall_macro_n,recall_macro_mean,recall_macro_std,roc_auc_n,roc_auc_mean,roc_auc_std,log_loss_n,log_loss_mean,log_loss_std,fit_seconds_n,fit_seconds_mean,fit_seconds_std,predict_seconds_n,predict_seconds_mean,predict_seconds_std
31,credit-g,10,10,0.7580000000000001,0.02529822128134706,10,0.6749224499641397,0.04206216181451949,10,0.7580000000000001,0.02529822128134706,10,0.7192480631644766,0.04115535715339704,10,0.6642857142857144,0.041452586848255875,10,0.7894523809523809,0.0318767250260673,10,0.49682556421716334,0.03712643815338806,10,0.5130070866958704,0.0051129809364364774,10,0.22644669910077933,0.0003827888054698693
32,pendigits,10,10,0.9970890892546944,0.0018084968465488438,10,0.9970822640026524,0.0018068560300191177,10,0.9970890892546944,0.0018084968465488438,10,0.9971049254590886,0.0018035722764346272,10,0.9970832762792954,0.0017990508311410596,10,0.9998724399594835,0.0002209808040395995,10,0.01244806751127409,0.00844055032200075,10,0.571841026697075,0.038399253025885066,10,1.9265829747950192,0.0015494144510393567
37,diabetes,10,10,0.7772727272727273,0.053887493503574725,10,0.7486765930790483,0.06294696368272272,10,0.7772727272727273,0.053887493503574725,10,0.7592324004509106,0.06314999763481528,10,0.7457977207977209,0.06394752627667168,10,0.8352649572649573,0.0471075454727729,10,0.4831273398034403,0.07022977870492968,10,0.4889480127894785,0.013513163262680518,10,0.15943774139741432,0.0006255891810366353
38,sick,10,10,0.9809109791868412,0.005274193491201351,10,0.9100402358215097,0.02632503723573598,10,0.9809109791868412,0.005274193491201351,10,0.9479329191168064,0.0300390537711866,10,0.8808815401621224,0.035266716163148006,10,0.9948798541268079,0.0019158426670032834,10,0.04437846049547449,0.00770870738714786,10,0.5838914497930091,0.034883513853611464,10,0.778363217698643,0.006516609812252406
44,spambase,10,10,0.9565368291992833,0.012304731752425115,10,0.954297318987609,0.013065229506503306,10,0.9565368291992833,0.012304731752425115,10,0.9561937969328603,0.012076447068299643,10,0.9527572711523751,0.014158265543206202,10,0.9896906119398168,0.005791189243713201,10,0.1224276616151764,0.0349102762850928,10,0.6329488430928905,0.03348266904090411,10,1.5171943849010858,0.0012419437614099636
46,splice,10,10,0.9191222570532915,0.013527734447383326,10,0.9110794272262968,0.01725162074766569,10,0.9191222570532915,0.013527734447383326,10,0.9184786866873148,0.012166875074988821,10,0.9056200285306183,0.021180713968267675,10,0.9854379903450254,0.0058753371463315905,10,0.2211289905568588,0.03449317349090765,10,0.7196174813027028,0.08651813156612727,10,1.1134440558962524,0.007981291294722548
50,tic-tac-toe,10,10,0.9833004385964912,0.012229255798515307,10,0.9812423142728071,0.013917053241754417,10,0.9833004385964912,0.012229255798515307,10,0.9876756015025604,0.008831616437550848,10,0.9759358288770053,0.017721025896621185,10,0.9998089232434584,0.00040283724997992984,10,0.03318857995986453,0.021889336763588285,10,0.4928869908908382,0.0036762421568140246,10,0.18036474180989895,0.0007671253442366208
54,vehicle,10,10,0.8451960784313725,0.021539712672945268,10,0.8455478401444546,0.02229127349037507,10,0.8451960784313725,0.021539712672945268,10,0.8479280668461076,0.02394883801530409,10,0.8471095352016403,0.021558869626857602,10,0.9686790565418697,0.005409288674092983,10,0.2995294769276874,0.036386172486853545,10,0.5870567710895557,0.1190182612381128,10,0.21818709030048922,0.024359924084947995
151,electricity,10,10,0.8441692689548882,0.004076018317755961,10,0.8394290270464776,0.004216850334220497,10,0.8441692689548882,0.004076018317755961,10,0.8423758418113604,0.004273495536964116,10,0.8373240908693249,0.00427809982964535,10,0.9222094946584036,0.0028269678680040472,10,0.35062000551206124,0.0056431534723389775,10,0.7522085117117967,0.08108087290010446,10,11.559430324990535,0.034006947280850186
182,satimage,10,10,0.9183514774494557,0.011758731179070768,10,0.9003210060457058,0.015427131319566162,10,0.9183514774494557,0.011758731179070768,10,0.9080500185799565,0.015694127126579353,10,0.8962803120468446,0.0151176820175768,10,0.9913845083988898,0.0021463945960077642,10,0.20343398427601977,0.01966891048500876,10,0.611657490907237,0.04060103899719634,10,1.6017471984960139,0.0019631023877929696
