dataset,context_length,acc_sa,acc_ea,f1_sa,f1_ea,nll_sa,nll_ea,ece_sa,ece_ea,seed
breast-w,559,0.9571428571428572,0.95,0.9537343027098479,0.9462454061762932,0.1785047185342107,0.16740604770225723,0.03590747586318427,0.04401389062404635,43
cmc,1178,0.5491525423728814,0.5457627118644067,0.5257784419226424,0.5245205845194284,0.9079034369886948,0.9197880702511364,0.07453928377668738,0.07755759914042586,43
optdigits,4496,0.9911032028469751,0.9919928825622776,0.9911770016683097,0.9920386331233138,0.0318269957828463,0.03481102524169452,0.004264721799363484,0.003984058985082297,43
credit-approval,552,0.8840579710144928,0.8695652173913043,0.8824781775601447,0.8673076923076923,0.42627488087135296,0.4224704798928287,0.09623980047046277,0.09432976099028102,43
credit-g,800,0.755,0.76,0.6796443398385146,0.6841689696012634,0.5101840659654943,0.48834442195693323,0.07556254595518112,0.04697352528572081,43
pendigits,8793,0.9945429740791268,0.9945429740791268,0.9945188290447667,0.9945188290447667,0.034074538052360145,0.03002200727826074,0.0031714734298200027,0.0034112959436093547,43
diabetes,614,0.7272727272727273,0.6818181818181818,0.6951357466063348,0.6426237272081459,0.5280933991108677,0.5566152882837597,0.09916927249400646,0.135430730782546,43
spambase,3680,0.9609120521172638,0.9619978284473398,0.9590379426560848,0.9602334059128675,0.13264476526827776,0.13292898951638205,0.00993421334008832,0.0167475997689751,43
splice,2552,0.9184952978056427,0.9043887147335423,0.9100354840059892,0.8951278850307395,0.25354998297797393,0.2602026258182308,0.02129116733806635,0.025722899126782314,43
tic-tac-toe,766,0.9947916666666666,0.9791666666666666,0.9942485696312494,0.9767413688673532,0.02770953223068066,0.035858404641336876,0.024086054724951587,0.020995308334628742,43
vehicle,676,0.8529411764705882,0.8529411764705882,0.852908578193832,0.8534204857843951,0.28660547897780736,0.312437182964724,0.055543951251927556,0.05179859960780426,43
electricity,36249,0.8486152488138585,0.8454154253558425,0.8437640756922313,0.8408927789034987,0.33984393186495837,0.3457331365740824,0.01595135101035088,0.02085839105233784,43
satimage,5144,0.9136858475894246,0.9144634525660964,0.8937091743567925,0.8952600921895751,0.2076695418470708,0.2061368326314805,0.013747514823732602,0.015394811450415411,43
kr-vs-kp,2556,0.9921875,0.99375,0.9921691272737061,0.993738014167743,0.024902721963272912,0.03781390243483061,0.005342599470168335,0.018403033167123807,44
letter,16000,0.97475,0.9765,0.9746393097687401,0.9764024171348853,0.09254116776811795,0.07689388017323025,0.028905123308300973,0.02147535317763686,44
balance-scale,500,0.984,0.96,0.9638490164805954,0.9185313948588285,0.1058080830539049,0.11159260493586518,0.05495223855972291,0.03152408027648926,44
breast-w,559,0.9571428571428572,0.9571428571428572,0.9533333333333334,0.9533333333333334,0.18771231335133615,0.1707275864107889,0.041807020562035696,0.046374234982899304,44
cmc,1178,0.5491525423728814,0.5322033898305085,0.5180989196154228,0.5033255426019804,0.8951030460336465,0.9042303911441509,0.042629667965032286,0.05356575826467094,44
optdigits,4496,0.9919928825622776,0.9911032028469751,0.992002464738127,0.9910979965098983,0.025767366186605575,0.02753217028522207,0.00363558658077198,0.004393089681969865,44
credit-approval,552,0.8695652173913043,0.8913043478260869,0.8673076923076923,0.8892040892790237,0.3203867389844943,0.3043182535898656,0.06227491817612582,0.030835605185964808,44
credit-g,800,0.765,0.765,0.684553172925266,0.6927200810695957,0.5298886690327165,0.5123489544831556,0.06378408044576644,0.04995918452739717,44
pendigits,8793,0.9972714870395635,0.9986357435197817,0.9972449080539236,0.9986515740085947,0.005275049823215737,0.005782651198337003,0.0022560323623702326,0.0024735203598130013,44
diabetes,614,0.7662337662337663,0.7727272727272727,0.7433333333333333,0.7535098550326977,0.5014699295974261,0.5073658343810267,0.08987496232057547,0.06848381595178084,44
spambase,3680,0.9598262757871878,0.9576547231270358,0.9577106123689975,0.9554246995240784,0.10661499109109616,0.11649140136982694,0.01326094925338875,0.012536852484028976,44
splice,2552,0.9169278996865203,0.9122257053291536,0.9069965194144988,0.9016545598358764,0.22372769115976276,0.23876168589188304,0.030221021240781472,0.044914893081943096,44
tic-tac-toe,766,1.0,0.9791666666666666,1.0,0.9767413688673532,0.01851644728251341,0.03295781980466722,0.017068666716416676,0.02285424371560414,44
