task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,n_valid_folds,error
3913,1063,kc2,2.0,Binary,522,21,2,3.878504672897196,0.8269230769230769,0.7102167182662539,0.8269230769230769,0.7196382428940569,0.7023809523809523,0.8928571428571427,0.33330192987139046,3.2445267229923047,0.21834633802063763,470.0,52.0,42,10,
3913,1063,kc2,3.0,Binary,522,21,2,3.878504672897196,0.8461538461538461,0.7045454545454546,0.8461538461538461,0.7681159420289855,0.6761904761904762,0.8976190476190476,0.3268336552131836,3.359250829962548,0.2125508390017785,470.0,52.0,42,10,
3913,1063,kc2,4.0,Binary,522,21,2,3.878504672897196,0.9230769230769231,0.8522727272727273,0.9230769230769231,0.9565217391304348,0.8,0.9166666666666667,0.2348470824776833,3.043848617002368,0.21692902100039646,470.0,52.0,42,10,
3913,1063,kc2,5.0,Binary,522,21,2,3.878504672897196,0.7884615384615384,0.6718301778542742,0.7884615384615384,0.6785714285714286,0.6662971175166297,0.811529933481153,0.3997214266233131,3.128756854974199,0.21834991400828585,470.0,52.0,42,10,
3913,1063,kc2,6.0,Binary,522,21,2,3.878504672897196,0.8461538461538461,0.6698412698412698,0.8461538461538461,0.9183673469387755,0.6363636363636364,0.7860310421286031,0.44289175675973697,3.341963598970324,0.2086652250145562,470.0,52.0,42,10,
3913,1063,kc2,7.0,Binary,522,21,2,3.878504672897196,0.75,0.5814241486068111,0.75,0.5965909090909092,0.5753880266075388,0.6186252771618626,0.6312537782518982,3.0540294050006196,0.2076237800065428,470.0,52.0,42,10,
3913,1063,kc2,8.0,Binary,522,21,2,3.878504672897196,0.8461538461538461,0.7694013303769401,0.8461538461538461,0.7694013303769401,0.7694013303769401,0.7294900221729491,0.4580786291336198,3.1749490819638595,0.21221299696480855,470.0,52.0,42,10,
3913,1063,kc2,9.0,Binary,522,21,2,3.878504672897196,0.8269230769230769,0.7102167182662539,0.8269230769230769,0.7443181818181819,0.6906873614190687,0.8780487804878049,0.34318168505495456,3.2552183869993314,0.2089446400059387,470.0,52.0,42,10,
3917,1067,kc1,0.0,Binary,2109,21,2,5.469325153374233,0.8767772511848341,0.6828168362627197,0.8767772511848341,0.8013052936910805,0.6450768156424581,0.858502094972067,0.3040863170961096,3.1748135840171017,0.43175645696464926,1898.0,211.0,42,10,
3917,1067,kc1,1.0,Binary,2109,21,2,5.469325153374233,0.8672985781990521,0.6298245614035087,0.8672985781990521,0.7878109452736318,0.6009951117318435,0.8439245810055866,0.31503384177927707,3.28889240603894,0.43444320099661127,1898.0,211.0,42,10,
3917,1067,kc1,2.0,Binary,2109,21,2,5.469325153374233,0.8483412322274881,0.5769423558897243,0.8483412322274881,0.6828358208955223,0.5641585195530726,0.8347590782122905,0.3305789911047873,3.508629190037027,0.4257559340330772,1898.0,211.0,42,10,
3917,1067,kc1,3.0,Binary,2109,21,2,5.469325153374233,0.8672985781990521,0.6584181313598519,0.8672985781990521,0.7855477855477855,0.6251276813074566,0.8395471569628873,0.3275117035031322,3.1803461959934793,0.44863748300122097,1898.0,211.0,42,10,
