task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,pdlc_topk_effective,pdlc_topk_tuned_best_frac,n_valid_folds,error
12,12,mfeat-factors,9.0,Multiclass,2000,216,10,1.0,0.995,0.9949968730456537,0.995,0.9952380952380953,0.9949999999999999,0.999861111111111,0.05002776762949271,0.5022493880242109,1.4489480499178171,1800.0,200.0,42,32.0,,10,
14,14,mfeat-fourier,0.0,Multiclass,2000,76,10,1.0,0.8,0.7968011209659377,0.8,0.8011673364998172,0.7999999999999999,0.9813611111111111,0.48513122786445834,0.42383873276412487,0.585033118724823,1800.0,200.0,42,32.0,,10,
14,14,mfeat-fourier,1.0,Multiclass,2000,76,10,1.0,0.84,0.8380762733201758,0.84,0.8410651629072682,0.8400000000000001,0.9709722222222222,0.5503428134048781,0.3955854531377554,0.5848399866372347,1800.0,200.0,42,32.0,,10,
14,14,mfeat-fourier,2.0,Multiclass,2000,76,10,1.0,0.835,0.8326080423448843,0.835,0.835968180254558,0.835,0.9770833333333334,0.491674210176503,0.3690536189824343,0.5819556713104248,1800.0,200.0,42,32.0,,10,
14,14,mfeat-fourier,3.0,Multiclass,2000,76,10,1.0,0.89,0.8888886552044447,0.89,0.8908080808080807,0.89,0.9855833333333333,0.3811895991276984,0.3418902102857828,0.5806796196848154,1800.0,200.0,42,32.0,,10,
14,14,mfeat-fourier,4.0,Multiclass,2000,76,10,1.0,0.815,0.8131099997076963,0.815,0.8184452407084996,0.8150000000000001,0.9669166666666668,0.5984328043382682,0.3400908838957548,0.5809020102024078,1800.0,200.0,42,32.0,,10,
14,14,mfeat-fourier,5.0,Multiclass,2000,76,10,1.0,0.835,0.8311036874878412,0.835,0.8292821975888337,0.835,0.9736666666666668,0.5284189134917636,0.33907400630414486,0.5799025483429432,1800.0,200.0,42,32.0,,10,
14,14,mfeat-fourier,6.0,Multiclass,2000,76,10,1.0,0.845,0.8401526122679673,0.845,0.8458930562191431,0.845,0.9753055555555555,0.5319567295805051,0.3372201435267925,0.5813019629567862,1800.0,200.0,42,32.0,,10,
14,14,mfeat-fourier,7.0,Multiclass,2000,76,10,1.0,0.87,0.8704683154683155,0.87,0.8742583732057415,0.8699999999999999,0.9804444444444446,0.43487105936167375,0.3328187223523855,0.5811057072132826,1800.0,200.0,42,32.0,,10,
14,14,mfeat-fourier,8.0,Multiclass,2000,76,10,1.0,0.855,0.8519148571235153,0.855,0.8557975564167514,0.8550000000000001,0.9835,0.4450578673624515,0.3395522739738226,0.5817238762974739,1800.0,200.0,42,32.0,,10,
