dataset,collapse_sa_top1,collapse_ea_top1,collapse_sa_top5,collapse_ea_top5,mean_cos_sa,mean_cos_ea,cka_sa_ea,neff_sa_mean,neff_sa_std,neff_ea_mean,neff_ea_std,purity_sa_top1,purity_sa_topk,purity_ea_top1,purity_ea_topk,m_mean_sa,m_mean_ea,m_cv_sa,m_cv_ea,seed
tic-tac-toe,0.1564910630588308,0.13887756284455838,0.6310434364467827,0.5870698742816264,0.5868391080138279,0.668042403950967,0.9407547442296831,327.1956596904331,65.48491544554403,356.51083225674097,86.1450081008448,0.3055555555555556,0.4208333333333333,0.2708333333333333,0.5111111111111111,,0.4344838857650757,,0.40433415232741104,42
vehicle,0.5180684882489655,0.468603060529358,0.8822359669331279,0.8614878185432364,0.6760371763414563,0.5538039895831283,0.9794143283442195,133.42728850597473,36.39788292038687,198.2263739878737,40.99463727641012,0.09055118110236221,0.2803149606299213,0.21653543307086615,0.37322834645669295,,0.4450652599334717,,0.34027584332892813,42
electricity,0.3285655247521579,0.3670993945664825,0.7601666191972032,0.7870530091331357,0.47708291422550964,0.5260138478677453,0.9728306629644397,10267.728990724021,5290.917501807361,12970.313213456706,5288.427371087109,0.18522877740179491,0.1875239076062969,0.30932764454906575,0.3166249816095337,,0.4706871509552002,,0.3369164739730676,42
satimage,0.5202054047215404,0.5471603206065758,0.9088699489571499,0.9171861086804249,0.5365511907101106,0.5517097344231863,0.9701298943121612,381.32012131227737,189.7663599026253,683.2982535908542,307.41812545250264,0.01918092275790565,0.06324520476931052,0.1119751166407465,0.16412649040953864,,0.5193383097648621,,0.29787519320155476,42
kr-vs-kp,0.15560329973857462,0.15503990138507004,0.5373787782087084,0.5436394482348954,0.8201508098774026,0.8250020306921899,0.9067296925800996,556.0118618707587,145.55260712873843,818.6852303704827,88.67537135768973,0.21480709071949947,0.42231491136600624,0.31908237747653806,0.3962460896767466,,0.4296548068523407,,0.38420233084640076,43
letter,0.19026442054051595,0.18733185093978366,0.628191831446191,0.648850778923993,0.6828043959671014,0.6181763700672104,0.966036045224496,1373.109110557556,670.7099638377081,2586.2144203999837,766.6363131954511,0.0013333333333333333,0.005866666666666667,0.0235,0.028666666666666667,,0.5361875295639038,,0.3022745281263319,43
balance-scale,0.19982107175147948,0.2208590446707051,0.7341898225564164,0.7573575473813549,0.36447566550877525,0.4771414807460333,0.9453580468047301,154.40888356147929,28.30106666680775,165.3308488967571,40.35244470380376,0.8404255319148937,0.8734042553191489,0.7819148936170213,0.825531914893617,,0.46169978380203247,,0.39133220639147476,43
breast-w,0.5388107360720501,0.5552917794341966,0.776924647233223,0.8131625988776587,0.6472327573908642,0.6198651991146407,0.9886917529778283,188.30276020595005,56.02968117185043,226.38996427626836,92.02177295879478,0.7095238095238096,0.7323809523809525,0.9523809523809523,0.9219047619047619,,0.4134967625141144,,0.44912386612446914,43
cmc,0.2525843807851801,0.3330331651691489,0.7091179007257106,0.726911218941484,0.6383674253848272,0.5639529402138366,0.9278572613359268,606.2258669650392,204.11721807433446,619.4717020578514,191.81162769897716,0.2081447963800905,0.23710407239819006,0.31221719457013575,0.314027149321267,,0.4677453637123108,,0.332005112478998,43
optdigits,0.145275493047428,0.15438407406099164,0.5094173047876952,0.5283750435871869,0.6946578116525312,0.7546024921889205,0.8588739294321054,341.692700025167,120.96394427896145,521.6751117547918,271.4550366101969,0.5189798339264532,0.6716488730723607,0.44365361803084225,0.6065243179122184,,0.5905393362045288,,0.23571988530831767,43
credit-approval,0.26202004692999187,0.21743305172427937,0.6617087367756874,0.7088417902802843,0.6113774421450751,0.5973156612421547,0.9190687914488453,234.0947518463872,64.21089077259879,268.12150223589174,61.044376101165575,0.17391304347826086,0.23478260869565218,0.6666666666666666,0.6753623188405797,,0.444731742143631,,0.373895317080578,43
credit-g,0.2259940890427638,0.22479678277970333,0.5707567111234517,0.5772339861687854,0.6054005417012062,0.6477790676502608,0.9149058178769485,480.85310811360677,108.21198776669469,468.9643892415365,137.3161716397521,0.49333333333333335,0.47600000000000003,0.5766666666666667,0.5960000000000001,,0.4397513270378113,,0.3953928425576015,43
pendigits,0.27031733942872305,0.28200539840131633,0.745787285666128,0.7672839297880945,0.5816716758568425,0.6070807681772998,0.9751952706182061,592.7200787731052,238.05106777510642,1102.424002435151,817.2131872460226,0.4523953911461492,0.5841115827774409,0.3865979381443299,0.6046088538508186,,0.5483113527297974,,0.2579004141474995,43
