task_id,dataset_id,dataset_name,n_valid_folds,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,seed,error
28,28,optdigits,10,Multiclass,5620,64,10,1.032490974729242,0.9944839857651246,0.002438292383285208,0.9944977220640506,0.0024216366543671356,0.9944839857651246,0.002438292383285208,0.9946570756698397,0.002322177130738308,0.99447322852586,0.0024480515065654655,0.9999863181675602,1.59009509353476e-05,0.016216560558600338,0.008800429557793121,0.661733387131244,0.050276979079731526,1.7729805273003876,0.003932066964359006,5058.0,0.0,562.0,0.0,42.0,
29,29,credit-approval,10,Binary,690,15,2,1.247557003257329,0.8739130434782609,0.0386775244468562,0.8726591342563965,0.03860292107387189,0.8739130434782609,0.0386775244468562,0.8728416045247667,0.03893749808119917,0.87354272778721,0.037938443139175534,0.9429206390666491,0.034068769141802624,0.3064278988645046,0.09217729153430912,0.4414032737724483,0.008427716183944809,0.17528213458135725,0.018064917961229034,621.0,0.0,69.0,0.0,42.0,
31,31,credit-g,10,Binary,1000,20,2,2.3333333333333335,0.7630000000000001,0.030930028559098793,0.6824457487086054,0.04584016558912908,0.7630000000000001,0.030930028559098793,0.7284596558797813,0.05499557785268904,0.6707142857142857,0.042548121645740726,0.7991190476190475,0.03742129558911138,0.4870965815781176,0.034686075022703294,0.540506593324244,0.04645769345566426,0.23693373762071132,0.011261037314113596,900.0,0.0,100.0,0.0,42.0,
32,32,pendigits,10,Multiclass,10992,16,10,1.0843601895734598,0.9974529737778146,0.0014087022601893399,0.9974383701627388,0.0014124042269311157,0.9974529737778146,0.0014087022601893399,0.9974663769264829,0.0014009218637930328,0.9974326279192651,0.0014141740525164582,0.999852491098267,0.00029125755325482824,0.010915936230685364,0.008299094946241573,0.5415970856323838,0.05472677634767791,1.7576049394905566,0.011640120528418143,9892.8,0.4216370213557839,1099.2,0.42163702135578396,42.0,
37,37,diabetes,10,Binary,768,8,2,1.8656716417910448,0.7720779220779221,0.05021958501821897,0.7349376384867217,0.06254569031498573,0.7720779220779221,0.05021958501821897,0.7569930605983488,0.06263128534775987,0.727954415954416,0.062329681316910975,0.8407692307692308,0.04947964954996562,0.4700516989610753,0.07052327815725903,0.4439924819394946,0.061427841471057745,0.15742982616648077,0.008569282362658097,691.2,0.4216370213557839,76.8,0.4216370213557839,42.0,
43,44,spambase,10,Binary,4601,57,2,1.5377826806398236,0.9626185985098556,0.008733482434608626,0.9608849945503197,0.009109450082237468,0.9626185985098556,0.008733482434608626,0.960904728419609,0.009577692684894161,0.9611587404818263,0.009067504346474405,0.9917066915600756,0.005510989032693796,0.11075412251514068,0.03951683696346563,0.6439746074378491,0.06577328348286533,1.3664595494046807,0.013263083197014358,4140.9,0.31622776601683794,460.1,0.31622776601683794,42.0,
45,46,splice,10,Multiclass,3190,60,3,2.1577574967405475,0.9589341692789969,0.010496237411784886,0.9545232777894389,0.011010247174150266,0.9589341692789969,0.010496237411784886,0.9517829869949737,0.010548121581555875,0.9577886117264685,0.012535033000430448,0.9936287897757274,0.0036421704237067287,0.12251155020084688,0.0307959626946226,0.719842582102865,0.09282430235735956,1.0088690360076726,0.01249107474762267,2871.0,0.0,319.0,0.0,42.0,
49,50,tic-tac-toe,10,Binary,958,9,2,1.8855421686746987,0.9833004385964912,0.012229255798515306,0.9812423142728072,0.013917053241754405,0.9833004385964912,0.012229255798515306,0.9876756015025604,0.008831616437550838,0.9759358288770053,0.01772102589662119,0.9999037999037999,0.00020280761007971447,0.046099386566259774,0.02651429683576779,0.5089374587871134,0.046863825269439746,0.1937173567712307,0.011900267505015818,862.2,0.4216370213557839,95.8,0.4216370213557839,42.0,
53,54,vehicle,10,Multiclass,846,18,4,1.0954773869346734,0.8688235294117648,0.025031981451252325,0.8694426279049615,0.025438585989379665,0.8688235294117648,0.025031981451252325,0.8722803115786861,0.025303049685722064,0.8706114718614717,0.025126003003789504,0.9742939772241328,0.005600225863815566,0.24743118097782446,0.03223700543771647,0.43883085902780294,0.03578946559184689,0.1879807285964489,0.0006602822043756132,761.4,0.5163977794943223,84.6,0.5163977794943222,42.0,
219,151,electricity,10,Binary,45312,8,2,1.3554608306908562,0.9051025318766103,0.003285661219011663,0.9026838297129741,0.003338852539366327,0.9051025318766103,0.003285661219011663,0.9036393001809268,0.0035494174249819693,0.9018552564401261,0.003270810797719241,0.9705491903132231,0.0014654642445868981,0.21722483375514362,0.0054176327074041035,0.6719305709935725,0.01832071195058387,11.010415044333786,0.03835775091136931,40780.8,0.4216370213557839,4531.2,0.4216370213557839,42.0,
