dataset,group,n,acc_sa_global,acc_ea_global,nll_sa_global,nll_ea_global,mean_ptrue_sa,mean_ptrue_ea,mean_neff_sa,mean_neff_ea,mean_purity_sa,mean_purity_ea,n_eff_sa_global,n_eff_ea_full_global,n_eff_ea_row_global,n_eff_ea_icl_global,pur_sa_top1_global,pur_sa_topk_global,pur_ea_full_top1_global,pur_ea_full_topk_global,pur_ea_row_top1_global,pur_ea_row_topk_global,pur_ea_icl_top1_global,pur_ea_icl_topk_global,ea_strength,n_estimators,seed,sa_checkpoint,ea_checkpoint
pc1,EA_only,0,0.9429429429429429,0.933933933933934,0.164156520713021,0.1614451236933357,,,,,,,371.4878845214844,618.5979614257812,380.503662109375,644.595458984375,0.07207207207207207,0.33153153153153153,0.1921921921921922,0.44024024024024033,0.5435435435435435,0.8078078078078078,0.2852852852852853,0.3171171171171171,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
pc1,both_correct,311,0.9429429429429429,0.933933933933934,0.164156520713021,0.1614451236933357,0.9626165628433228,0.9598152041435242,377.1084899902344,627.9063720703125,0.2977491961414791,0.45016077170418006,371.4878845214844,618.5979614257812,380.503662109375,644.595458984375,0.07207207207207207,0.33153153153153153,0.1921921921921922,0.44024024024024033,0.5435435435435435,0.8078078078078078,0.2852852852852853,0.3171171171171171,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
pc1,both_wrong,19,0.9429429429429429,0.933933933933934,0.164156520713021,0.1614451236933357,0.19159233570098877,0.20464327931404114,301.235595703125,501.2513427734375,0.8736842105263158,0.3473684210526316,371.4878845214844,618.5979614257812,380.503662109375,644.595458984375,0.07207207207207207,0.33153153153153153,0.1921921921921922,0.44024024024024033,0.5435435435435435,0.8078078078078078,0.2852852852852853,0.3171171171171171,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
connect-4,SA_only,1642,0.7316952832050523,0.6715018748766528,0.6727317666528976,0.7649811735539029,0.5601752996444702,0.33386415243148804,16598.86328125,42541.8125,0.01169305724725944,0.7331303288672352,25882.1640625,43470.9921875,22064.201171875,44724.0,0.09591474245115453,0.09528320505229919,0.21566015393724097,0.21218669824353661,0.1248273139925005,0.1298204065522005,0.10005920663114269,0.1004045786461417,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
connect-4,EA_only,422,0.7316952832050523,0.6715018748766528,0.6727317666528976,0.7649811735539029,0.3685770630836487,0.5784745216369629,21594.193359375,42619.26171875,0.02037914691943128,0.0943127962085308,25882.1640625,43470.9921875,22064.201171875,44724.0,0.09591474245115453,0.09528320505229919,0.21566015393724097,0.21218669824353661,0.1248273139925005,0.1298204065522005,0.10005920663114269,0.1004045786461417,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
connect-4,both_correct,13188,0.7316952832050523,0.6715018748766528,0.6727317666528976,0.7649811735539029,0.7801960706710815,0.7276015877723694,25905.931640625,43507.41015625,0.010327570518653321,0.011176827418865635,25882.1640625,43470.9921875,22064.201171875,44724.0,0.09591474245115453,0.09528320505229919,0.21566015393724097,0.21218669824353661,0.1248273139925005,0.1298204065522005,0.10005920663114269,0.1004045786461417,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
connect-4,both_wrong,5016,0.7316952832050523,0.6715018748766528,0.6727317666528976,0.7649811735539029,0.2081873118877411,0.18281808495521545,29219.330078125,43751.0625,0.35231259968102074,0.5800637958532695,25882.1640625,43470.9921875,22064.201171875,44724.0,0.09591474245115453,0.09528320505229919,0.21566015393724097,0.21218669824353661,0.1248273139925005,0.1298204065522005,0.10005920663114269,0.1004045786461417,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
balance-scale,SA_only,4,0.925531914893617,0.9361702127659575,0.1854242442543786,0.15756862793748014,0.49872544407844543,0.37935781478881836,143.7845458984375,285.7322692871094,0.55,0.8,164.6027069091797,272.0591125488281,137.96351623535156,252.0741729736328,0.7074468085106383,0.7861702127659576,0.8936170212765957,0.8904255319148936,0.8085106382978723,0.8340425531914895,0.8776595744680851,0.8829787234042553,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
balance-scale,EA_only,6,0.925531914893617,0.9361702127659575,0.1854242442543786,0.15756862793748014,0.3685168921947479,0.5713022351264954,152.99781799316406,306.1332702636719,0.26666666666666666,0.6,164.6027069091797,272.0591125488281,137.96351623535156,252.0741729736328,0.7074468085106383,0.7861702127659576,0.8936170212765957,0.8904255319148936,0.8085106382978723,0.8340425531914895,0.8776595744680851,0.8829787234042553,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
balance-scale,both_correct,170,0.925531914893617,0.9361702127659575,0.1854242442543786,0.15756862793748014,0.9214999675750732,0.9413111209869385,166.19895935058594,269.1238098144531,0.8270588235294118,0.9282352941176472,164.6027069091797,272.0591125488281,137.96351623535156,252.0741729736328,0.7074468085106383,0.7861702127659576,0.8936170212765957,0.8904255319148936,0.8085106382978723,0.8340425531914895,0.8776595744680851,0.8829787234042553,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
