dataset,context_length,acc_sa,acc_ea,f1_sa,f1_ea,nll_sa,nll_ea,ece_sa,ece_ea,seed
tic-tac-toe,766,0.9947916666666666,0.9791666666666666,0.9942485696312494,0.9767413688673532,0.027690819030114906,0.03902494947252504,0.024076858535408974,0.0271023353561759,43
vehicle,676,0.8470588235294118,0.8411764705882353,0.8470457679534569,0.8411356209150327,0.2866032156725178,0.29058867689355194,0.06773490432430718,0.05051800117773167,43
kr-vs-kp,2556,0.9921875,0.9890625,0.9921691272737061,0.9890399966728561,0.02489951542682788,0.040788381157952316,0.0053406667895614926,0.016925055440515258,44
balance-scale,500,0.984,0.976,0.9638490164805954,0.9476721816083109,0.10578023129199342,0.09645269955119322,0.0549507474899292,0.030859102249145506,44
breast-w,559,0.9571428571428572,0.9571428571428572,0.9533333333333334,0.9533333333333334,0.1877233674761366,0.19409772929794675,0.0417987734079361,0.04024452013628827,44
cmc,1178,0.5491525423728814,0.5559322033898305,0.5180989196154228,0.5338983050847457,0.8951066499318632,0.8921590067427876,0.042641928539437775,0.04190041634996058,44
credit-approval,552,0.8695652173913043,0.8913043478260869,0.8673076923076923,0.8896294321514262,0.3203349306525968,0.30159038626205087,0.0622777532840121,0.05647404254346654,44
credit-g,800,0.765,0.76,0.684553172925266,0.6612083568605307,0.5299520116881475,0.5204232642869177,0.06382251322269439,0.06564647614955901,44
diabetes,614,0.7662337662337663,0.7597402597402597,0.7433333333333333,0.7414113909689131,0.5014624983594494,0.5197438794060539,0.08987188764980861,0.0605856544011599,44
spambase,3680,0.9598262757871878,0.9565689467969598,0.9577106123689975,0.9542109973153028,0.10661647281669402,0.11744169295104459,0.013260913723584209,0.008575801222901623,44
