dataset,condition,param_type,param_value,rotation_seed,rotation_cols_hash,p_cell,n_test,acc_sa,acc_ea,f1_sa,f1_ea,nll_sa,nll_ea,ece_sa,ece_ea,seed,n_estimators,use_hierarchical,sa_checkpoint,ea_checkpoint
electricity,cell_outliers_tabpfn_test,outlier_factor,5.0,,,0.02,9063,0.829636985545625,0.8266578395674722,0.8255511866976171,0.8228426286734764,0.38020118233304334,0.3877211209714933,0.010051386082499926,0.00841283462148332,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
electricity,cell_outliers_tabpfn_test,outlier_factor,10.0,,,0.02,9063,0.8310713891647358,0.8295266468056934,0.8269900220454274,0.8255757876185266,0.3828316475998246,0.3895052940699049,0.018185257109324556,0.016640575413775987,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
electricity,cell_outliers_tabpfn_test,outlier_factor,50.0,,,0.02,9063,0.8250027584684982,0.8252234359483615,0.8207311010041709,0.8211057053801057,0.392763049685771,0.39893483300594135,0.017453640018697987,0.017156225751333652,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
electricity,feature_rotation_pairs_both,angle_deg,45.0,690820.0,,,9063,0.8507116848725588,0.847953216374269,0.845921507321193,0.8431059824885125,0.3459250441996083,0.35086378067062457,0.01663154021643729,0.019996782584549715,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
electricity,feature_rotation_kdim_both,k_subspace,7.0,975281.0,386896.0,,9063,0.8471808451947479,0.8439810217367317,0.8420204285637423,0.838877366532472,0.3537003438654857,0.3586210684484695,0.018464564520778954,0.02201132986517416,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
electricity,feature_rotation_kdim_context,k_subspace,7.0,975281.0,386896.0,,9063,0.5063444775460664,0.5237779984552576,0.49884043731202743,0.5164858490566038,0.8446691488890876,0.8295489808083664,0.19514061781687408,0.1812212324216115,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
electricity,feature_rotation_kdim_both,k_subspace,7.0,7461.0,38891.0,,9063,0.8384640847401522,0.8359262937217257,0.8326519455422527,0.8303156559830067,0.3662803537374397,0.3717599036132975,0.014905810579747984,0.016765818609828828,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
electricity,feature_rotation_kdim_context,k_subspace,7.0,7461.0,38891.0,,9063,0.4718084519474788,0.47379454926624737,0.47170634094773983,0.4734786286319485,0.932771671133702,0.9606379287973155,0.2895917315021672,0.2960012327239672,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
electricity,feature_rotation_kdim_both,k_subspace,7.0,123011.0,871388.0,,9063,0.8440913604766633,0.8417742469381,0.8387599340309271,0.8366380862069659,0.3578378422242937,0.36269503896952393,0.01775863449344388,0.02047897148090234,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
electricity,feature_rotation_kdim_context,k_subspace,7.0,123011.0,871388.0,,9063,0.48085622862186916,0.4742359042259737,0.47827074023694216,0.4710076184480988,0.998385228835825,1.024780556772943,0.2860921669990222,0.2992896807781713,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
