bootstrap_id,auc_mean,auc_std,n_train_pretrain,n_train_cc18
42,0.9541666666666666,0.054148857471160945,60,60
43,0.975,0.03758991278534549,60,60
44,0.9486111111111111,0.05696984528331582,60,60
45,0.9708333333333332,0.037203042322163545,60,60
46,0.976388888888889,0.027163343355011065,60,60
47,0.9722222222222221,0.04336804165554444,60,60
48,0.9638888888888889,0.06022078719077447,60,60
49,0.9722222222222221,0.05055631867555909,60,60
50,0.9736111111111111,0.03272005274830486,60,60
51,0.9805555555555555,0.039711051265266153,60,60
52,0.976388888888889,0.03458305443885761,60,60
53,0.9736111111111111,0.03621779114001476,60,60
54,0.975,0.034583054438857605,60,60
55,0.9777777777777776,0.03847748660331968,60,60
56,0.9777777777777779,0.03621779114001473,60,60
57,0.9694444444444444,0.02888421436539645,60,60
58,0.9625,0.028884214365396437,60,60
59,0.9722222222222221,0.036416973894796964,60,60
60,0.9791666666666666,0.035409857733283236,60,60
61,0.9708333333333332,0.03308647013769887,60,60
62,0.9736111111111111,0.03272005274830486,60,60
63,0.976388888888889,0.026715811196765804,60,60
64,0.9736111111111111,0.03308647013769885,60,60
65,0.9694444444444444,0.03279366375865999,60,60
66,0.9805555555555555,0.03621779114001473,60,60
67,0.9694444444444444,0.03128855646130225,60,60
68,0.9652777777777777,0.03257233166544051,60,60
69,0.9791666666666666,0.035409857733283236,60,60
70,0.9791666666666666,0.03540985773328324,60,60
71,0.9694444444444443,0.04067097351207313,60,60
72,0.9736111111111111,0.043479099562495856,60,60
73,0.961111111111111,0.04408491735584408,60,60
74,0.9777777777777779,0.03847748660331963,60,60
75,0.9805555555555555,0.03588336300767726,60,60
76,0.961111111111111,0.03694287799519553,60,60
77,0.9527777777777778,0.049690399499995354,60,60
78,0.9625,0.025797466140287134,60,60
79,0.9791666666666666,0.03330438557856058,60,60
80,0.976388888888889,0.030508170328456673,60,60
81,0.961111111111111,0.04569634410100584,60,60
82,0.9736111111111111,0.026168671779745557,60,60
83,0.9652777777777779,0.02905069536576653,60,60
84,0.9791666666666666,0.03220006422047121,60,60
85,0.9680555555555556,0.039771725175767644,60,60
86,0.9777777777777779,0.03486083443891983,60,60
87,0.9708333333333332,0.039406280441975326,60,60
