dataset_id,dataset_name,n_folds,accuracy_n,accuracy_mean,accuracy_std,f1_macro_n,f1_macro_mean,f1_macro_std,f1_micro_n,f1_micro_mean,f1_micro_std,precision_macro_n,precision_macro_mean,precision_macro_std,recall_macro_n,recall_macro_mean,recall_macro_std,roc_auc_n,roc_auc_mean,roc_auc_std,log_loss_n,log_loss_mean,log_loss_std,fit_seconds_n,fit_seconds_mean,fit_seconds_std,predict_seconds_n,predict_seconds_mean,predict_seconds_std
32,pendigits,10,10,0.9967250392919184,0.0014970720932663052,10,0.996709415056688,0.0014899964378548994,10,0.9967250392919184,0.0014970720932663052,10,0.996754222493362,0.0014848499143463767,10,0.9966958392700371,0.0014871609494351901,10,0.999851566688491,0.00024131301319386432,10,0.013516828247399179,0.009304771379589202,10,3.3989274370949714,0.11646605790293331,10,1.8972939117113128,0.00828624382390046
37,diabetes,10,10,0.7798701298701298,0.059843689873125744,10,0.7479667266944675,0.0737096080231537,10,0.7798701298701298,0.059843689873125744,10,0.763841810432066,0.06941167629120552,10,0.7443903133903134,0.07390471111312305,10,0.8402279202279201,0.04356571596305192,10,0.47618937243193554,0.0683288529342907,10,3.3073926960874815,0.10906321167290789,10,0.2084972424083389,0.004081388198955138
38,sick,10,10,0.9817074368798508,0.0060519624050962804,10,0.9147656096505882,0.030326043232240883,10,0.9817074368798508,0.0060519624050962804,10,0.9438615874196155,0.024045256453737555,10,0.891378437661093,0.04179761811037483,10,0.9957390128044119,0.0016907125388416406,10,0.03874144661406563,0.0076626972466680605,10,3.249999334104359,0.1667794904803508,10,0.7494287775014528,0.00953691194205964
44,spambase,10,10,0.9593582005092898,0.008927673930149222,10,0.9573393279756779,0.009473340985403617,10,0.9593582005092898,0.008927673930149222,10,0.9584564987967724,0.008564021629908262,10,0.9565266717845992,0.010713694198481968,10,0.9907742369229247,0.005576162800967748,10,0.11818364108791306,0.03779221889959148,10,3.5474928957992233,0.11198649754168742,10,1.4565895189007279,0.033026815761454026
46,splice,10,10,0.9100313479623825,0.0188116797946459,10,0.9017625216706084,0.021518785300269194,10,0.9100313479623825,0.0188116797946459,10,0.9062637392357956,0.018954210038187987,10,0.8988476576618618,0.024150059292933197,10,0.9832068471117242,0.006949295444541544,10,0.23191138589446103,0.043733737950928504,10,3.563579910196131,0.11268375220694367,10,1.0484678478038405,0.0031516892686675076
50,tic-tac-toe,10,10,0.996875,0.0070307141428182654,10,0.9965099813432836,0.007880406696673295,10,0.996875,0.0070307141428182654,10,0.9976678876678877,0.005220547751836968,10,0.9954991087344028,0.010175986981765991,10,1.0,0.0,10,0.014413470303543221,0.007941239349888602,10,3.349603470094735,0.09692323944285121,10,0.2312168765987735,0.003949732972722998
54,vehicle,10,10,0.8416666666666666,0.03451485165750402,10,0.8423810658675392,0.035354293623451945,10,0.8416666666666666,0.03451485165750402,10,0.8452290276528733,0.03800667536978441,10,0.8437121212121212,0.0348594326118465,10,0.9711726786584937,0.005648594092852805,10,0.28043287505518405,0.030988424251162033,10,3.3429946632066274,0.1366546745009268,10,0.2464159984956495,0.009752529500181264
151,electricity,10,10,0.8475678969803587,0.0037603091362638213,10,0.8426933190490711,0.003958483505923934,10,0.8475678969803587,0.0037603091362638213,10,0.846433960330071,0.003844577694331324,10,0.8401545489139032,0.0041249168054276085,10,0.9264794187909413,0.0025831485624558596,10,0.34111692987837483,0.0054300965860016905,10,3.6273623642860913,0.15744060250019695,10,12.418533891899278,0.0493728994656818
182,satimage,10,10,0.9178849144634524,0.010046864941731947,10,0.9001448372668781,0.012839892987189936,10,0.9178849144634524,0.010046864941731947,10,0.9068679738798753,0.012236802914887351,10,0.8965827818723545,0.012820134914525515,10,0.9912904432856374,0.002002886191804591,10,0.20475929986329974,0.019664454125488104,10,3.3478633845108563,0.18970922438788043,10,1.6241265947930514,0.015454002558122838
188,eucalyptus,10,10,0.6969085523880043,0.02910291986033247,10,0.6720999201040605,0.03795345555897202,10,0.6969085523880043,0.02910291986033247,10,0.6936494637461436,0.037254521122337736,10,0.6708864468864469,0.03930363565032332,10,0.9299651582993761,0.011001925157065459,10,0.6620160375812482,0.051414841177669486,10,3.0621011058974545,0.281648957422579,10,0.22816442009643648,0.0033685900065132737
458,analcatdata_authorship,10,10,0.9964425770308123,0.005728121998811069,10,0.9975644401290413,0.003921786839524903,10,0.9964425770308123,0.005728121998811069,10,0.9976026392961878,0.003864361155261971,10,0.9976041666666667,0.0038602616971353354,10,1.0,0.0,10,0.00833319944018818,0.007702023893371763,10,3.3001789400121195,0.1802043641004308,10,0.40567251470056365,0.00839702985795878
469,analcatdata_dmft,10,10,0.20824367088607593,0.04537878870458368,10,0.20882926830305443,0.050408883356725075,10,0.20824367088607593,0.04537878870458368,10,0.21649488024875013,0.06170881507364589,10,0.2101434676434676,0.04561950561339593,10,0.5668135072435712,0.0388133934227161,10,1.8610471199430194,0.08960454931962528,10,3.121387838385999,0.09122945087929818,10,0.16532695799833164,0.0037932142679669993
1049,pc4,10,10,0.9197543693906471,0.015826634248357143,10,0.7936828247872495,0.0390539368881115,10,0.9197543693906471,0.015826634248357143,10,0.8321257057979574,0.04765933277337423,10,0.7678717320261438,0.03975789486100259,10,0.959157986111111,0.017298133149904322,10,0.1666954426186598,0.030265277158081732,10,3.128969765204238,0.06514663716614671,10,0.41832689759903585,0.007151716224607127
1050,pc3,10,10,0.899554956720562,0.007948253953731391,10,0.5342763590007149,0.03306338296208097,10,0.899554956720562,0.007948253953731391,10,0.7559165676196036,0.18571158978645225,10,0.5315279888551165,0.018652356228905542,10,0.8693297239108411,0.041168254001133074,10,0.2429079427707958,0.02382128663850825,10,3.110113391187042,0.1951536149802485,10,0.426568976911949,0.011129585600413359
