dataset,collapse_sa_top1,collapse_ea_top1,collapse_sa_top5,collapse_ea_top5,mean_cos_sa,mean_cos_ea,cka_sa_ea,neff_sa_mean,neff_sa_std,neff_ea_mean,neff_ea_std,purity_sa_top1,purity_sa_topk,purity_ea_top1,purity_ea_topk,m_mean_sa,m_mean_ea,m_cv_sa,m_cv_ea,seed
nomao,0.3455471823428958,0.2693351196866497,0.7626299718321864,0.6876779198627991,0.4308082838486317,0.7264694578203007,0.8339750936064638,2798.516838247503,1963.799487033328,8179.453490980716,2664.2466816976416,0.046423908312781086,0.046568983026258524,0.08864064993471638,0.0922385028289569,,0.43507620692253113,,0.3883094322898525,46
madelon,0.09544598511742697,0.09033050062216451,0.2860526650597904,0.3815606182452278,0.9116577253961149,0.8861291115379737,0.2965733865303019,1836.1423346886268,186.68054748455614,1913.7535893366887,105.89749604871422,0.4826923076923077,0.4546153846153847,0.5115384615384615,0.5469230769230768,,0.3850181996822357,,0.44474717098378697,46
haberman,0.24699774267761254,0.26111664090634606,0.8206186131937245,0.7962016132159179,0.3830636140107342,0.4576514324679338,0.9357019984379112,137.13334581928868,41.2696390976094,159.2081445263278,26.472223392567436,0.7580645161290323,0.6967741935483871,0.24193548387096775,0.3870967741935484,,0.3936762809753418,,0.4194922792421018,46
churn,0.14339542248215878,0.13059608646766868,0.5551127978982253,0.5419291808562675,0.6995332094970634,0.7345977816796545,0.9210571334536717,1312.9030827178956,662.570539411562,2117.3600831298827,730.0800169637545,0.082,0.0876,0.133,0.17860000000000004,,0.41074806451797485,,0.3953350565916663,46
sick,0.25938425258644593,0.3498407330458072,0.7284638764774374,0.7807389840231096,0.665249781786133,0.6281827938544949,0.8837394075161424,1549.1684211781483,540.2482063975634,1557.0881799356828,520.0592964686468,0.030463576158940398,0.4572185430463576,0.033112582781456956,0.03735099337748344,,0.3841710686683655,,0.4836129961564366,46
ozone-level-8hr,0.4999254109831418,0.4448299074565285,0.8360913683971374,0.7828215072183956,0.5210467995731602,0.5042888104833417,0.9369517696927704,732.4232162611019,208.5393190521693,825.10353231336,219.34320091459557,0.0650887573964497,0.0796844181459566,0.0650887573964497,0.06863905325443787,,0.3530186712741852,,0.5064922571667628,46
kr-vs-kp,0.16342760130106124,0.1518101727780721,0.5319677044643775,0.5246791179495416,0.8106947832543556,0.7671490759218009,0.8805972525227052,741.5635088920593,143.31754857257872,800.830319404602,210.12420357717917,0.3453125,0.37343750000000003,0.090625,0.300625,,0.4189390540122986,,0.3819244103154654,46
car,0.18048702706578926,0.16417638437642806,0.7092700676035751,0.6515848315725282,0.5094512415739018,0.6363470470103155,0.9266801340747647,598.9636527761559,312.64901928693666,648.293692858922,325.1244433886751,0.5520231213872833,0.6289017341040463,0.02601156069364162,0.14277456647398842,,0.4095340371131897,,0.45520621129203837,46
optdigits,0.14378052087887946,0.2090099963793528,0.5196112226813222,0.6520885653324505,0.681245068684191,0.6340143030181209,0.7646308035222739,364.21863750036925,148.88117575691078,684.3291479531556,455.06028580259766,0.44483985765124556,0.6103202846975089,0.3603202846975089,0.5090747330960854,,0.5785880088806152,,0.2354050068115119,46
pendigits,0.2835451649005887,0.25742184606849394,0.7465209627712677,0.7537624517537518,0.6065849897090093,0.6244720299002116,0.9066574659336212,657.2109729242953,325.02808996594945,1595.6007872655641,1087.775355461836,0.330150068212824,0.5980900409276945,0.4552069122328331,0.7269668030923147,,0.5214353203773499,,0.2694076335186774,46
