dataset_id,dataset_name,n_folds,accuracy_n,accuracy_mean,accuracy_std,accuracy_foldboot_ci_lower,accuracy_foldboot_ci_upper,f1_macro_n,f1_macro_mean,f1_macro_std,f1_macro_foldboot_ci_lower,f1_macro_foldboot_ci_upper,f1_micro_n,f1_micro_mean,f1_micro_std,f1_micro_foldboot_ci_lower,f1_micro_foldboot_ci_upper,precision_macro_n,precision_macro_mean,precision_macro_std,precision_macro_foldboot_ci_lower,precision_macro_foldboot_ci_upper,recall_macro_n,recall_macro_mean,recall_macro_std,recall_macro_foldboot_ci_lower,recall_macro_foldboot_ci_upper,roc_auc_n,roc_auc_mean,roc_auc_std,roc_auc_foldboot_ci_lower,roc_auc_foldboot_ci_upper,log_loss_n,log_loss_mean,log_loss_std,log_loss_foldboot_ci_lower,log_loss_foldboot_ci_upper,fit_seconds_n,fit_seconds_mean,fit_seconds_std,fit_seconds_foldboot_ci_lower,fit_seconds_foldboot_ci_upper,predict_seconds_n,predict_seconds_mean,predict_seconds_std,predict_seconds_foldboot_ci_lower,predict_seconds_foldboot_ci_upper
46,splice,10,10,0.9191222570532915,0.015414076417626547,0.9103369905956114,0.9275940438871474,10,0.9120387528378263,0.01783824673738627,0.9013990366516478,0.9218155373460101,10,0.9191222570532915,0.015414076417626547,0.9103369905956114,0.9275940438871474,10,0.9153546829827137,0.01417158969316915,0.907405343414912,0.9235664560856274,10,0.9098323940556025,0.022006635594589576,0.8970348542724097,0.9220124498906999,10,0.9840686889994478,0.006290359147680973,0.9805381296160515,0.9875094914754914,10,0.22620701134398397,0.03805628684880654,0.2054243725494371,0.24759794966951912,10,3.4081750092911536,0.14674223076418808,3.330835787623801,3.49552919288195,10,1.0738428707933054,0.004711767874001675,1.0713850385801924,1.076776665103389
50,tic-tac-toe,10,10,0.9833004385964912,0.012229255798515307,0.9759756030701756,0.9905701754385966,10,0.9812423142728071,0.013917053241754417,0.9728051336482121,0.9893790821414487,10,0.9833004385964912,0.012229255798515307,0.9759756030701756,0.9905701754385966,10,0.9876756015025604,0.008831616437550848,0.9823461759141563,0.9929439484126984,10,0.9759358288770053,0.017721025896621185,0.9651515151515151,0.9863636363636363,10,1.0,0.0,1.0,1.0,10,0.031752590624246055,0.019378515253658322,0.021980980739041107,0.04453021509493197,10,3.2276453636062796,0.12842849469856166,3.1535059868660755,3.303452333558816,10,0.2501710910059046,0.004398212581356814,0.24768828137661325,0.2527519342050073
54,vehicle,10,10,0.8428431372549019,0.02969205659148421,0.8256820728291315,0.8591193977591036,10,0.8428812793189756,0.03077201822624968,0.8251510950486441,0.8598376359348585,10,0.8428431372549019,0.02969205659148421,0.8256820728291315,0.8591193977591036,10,0.8465802150038083,0.03321070884530223,0.8273817909294812,0.8650336199747963,10,0.844836807928913,0.029529153464080478,0.8278544372294372,0.8610977728411939,10,0.968297816817852,0.006507581034703463,0.9644819780836104,0.9719951400082246,10,0.2933056478436831,0.026646040414706477,0.2807359349915708,0.3094962291316357,10,3.1171003063966056,0.25872197697765364,2.9534296094145973,3.2506763862469232,10,0.25969787759240714,0.006618801441991758,0.25666512366253297,0.26436004452698403
151,electricity,10,10,0.842050657985598,0.004254695162593586,0.8395746246120916,0.8448353879414207,10,0.8367754424924778,0.004595017710442973,0.8340773706127785,0.8397912610018121,10,0.842050657985598,0.004254695162593586,0.8395746246120916,0.8448353879414207,10,0.8411806619812943,0.004105397158452815,0.8388473455772776,0.843884670723998,10,0.8339426822914693,0.00491638075255708,0.8310629663405572,0.8371847854981529,10,0.9214582686810262,0.0031800713133445066,0.9195209797402949,0.9234383459064831,10,0.35296184140582243,0.006270357522617998,0.34922579365644135,0.3567546608538497,10,3.704876138101099,0.15269229794224204,3.6195750030396447,3.797616910121578,10,12.782030558300903,0.08414989909847519,12.728770615256073,12.82707409527764
182,satimage,10,10,0.9143079315707621,0.009140672172479566,0.9090202177293933,0.9200622083981338,10,0.8955870824859661,0.012196630438612521,0.8885963166308234,0.9030685305792512,10,0.9143079315707621,0.009140672172479566,0.9090202177293933,0.9200622083981338,10,0.9028012165813013,0.011345490068361165,0.8962512561813818,0.9100998208673243,10,0.8918369070081212,0.011950560944085479,0.8849199682446077,0.8992296216543563,10,0.9906699480282264,0.0022498867931555933,0.9893965119459492,0.9920701001558685,10,0.21190255512534276,0.019095012200467415,0.1995578517990599,0.22240130087840493,10,3.4950907199003267,0.18060882064463718,3.3796590773797655,3.5978770424064717,10,1.6795831494033338,0.03414874996523622,1.6604852184760965,1.701168305515748
188,eucalyptus,10,10,0.6996853017400964,0.03787363768816748,0.6802105701592003,0.7232335246205109,10,0.6743392362386165,0.046132968619551414,0.6492811131900061,0.7014776341526558,10,0.6996853017400964,0.03787363768816748,0.6802105701592003,0.7232335246205109,10,0.7035798384665302,0.056793020031041,0.6737078701205501,0.7356800368625989,10,0.673048507048507,0.04585051939721637,0.6484260961260961,0.7000467976467977,10,0.9317842375525363,0.011320437356111617,0.9255583102951427,0.9388131369259858,10,0.660050409312378,0.05884198163155754,0.6272429520688734,0.6951999811271321,10,3.2284147648955694,0.10422163822329807,3.1699384490016382,3.291811540569761,10,0.25482289779465644,0.010197160514381937,0.24935705051801046,0.2605380479739688
458,analcatdata_authorship,10,10,0.9964285714285716,0.008035101877506596,0.9916369047619047,1.0,10,0.9956637589674768,0.009474803701257315,0.9892141756548536,1.0,10,0.9964285714285716,0.008035101877506596,0.9916369047619047,1.0,10,0.9975537634408603,0.005474683075488932,0.9942560483870969,1.0,10,0.9942708333333334,0.013548342371615734,0.9854166666666668,1.0,10,0.9999693019803473,9.707566175934538e-05,0.9999079059410416,1.0,10,0.014663486546091481,0.026193469706538013,0.003844214815629675,0.032220803045468226,10,3.3813025131996257,0.13352812999921637,3.3011718730127906,3.4613147579789802,10,0.4239555735024624,0.0028830499964871714,0.4223289033085166,0.4257380520447623
469,analcatdata_dmft,10,10,0.2132911392405063,0.03931119149711967,0.18960324367088605,0.23620213607594934,10,0.2087940182617109,0.04251173074986136,0.1834938569643486,0.23317353210307953,10,0.2132911392405063,0.03931119149711967,0.18960324367088605,0.23620213607594934,10,0.21822201155945598,0.04822459278758763,0.18942292468811425,0.2448313695996842,10,0.21190018315018314,0.03851759462318026,0.18907394688644688,0.23429271596459092,10,0.5721062286842395,0.03740790633692677,0.5500383637239084,0.5943273625369454,10,1.8090759305887603,0.07140343931813783,1.767939013025893,1.851483523139736,10,3.1138470202102324,0.0858423672736427,3.0598592780457694,3.1600260636233726,10,0.20216779360780487,0.0070168901898197186,0.19819505941894022,0.2059592939604772
1049,pc4,10,10,0.9245630609352858,0.019336666023413215,0.9129044638639584,0.9354274917335854,10,0.8101432067183205,0.04414856570374928,0.7831829518336549,0.8348057306839737,10,0.9245630609352858,0.019336666023413215,0.9129044638639584,0.9354274917335854,10,0.8433830694262661,0.05587540869386705,0.8107089731066199,0.875353370941103,10,0.7876429738562092,0.0436698571412786,0.7609999234068626,0.8119973575367646,10,0.9594030841503267,0.01754292900461539,0.949272301368464,0.969279513888889,10,0.1671702464319404,0.03652170094524341,0.14633317107011276,0.18874830047592608,10,3.393587734992616,0.2302935241748231,3.268215256995318,3.5312424966914113,10,0.4378735589038115,0.007590162691576038,0.43410649990604727,0.44255470531803437
1050,pc3,10,10,0.8963579944471665,0.005770245080526149,0.8927323207577984,0.8995631226522945,10,0.5264407477335361,0.02395499178442472,0.511489992728752,0.5394372266651113,10,0.8963579944471665,0.005770245080526149,0.8927323207577984,0.8995631226522945,10,0.697169014114485,0.1558660318106746,0.605014685236116,0.7936890479876161,10,0.5269769503546099,0.013450511119421558,0.5190330547112463,0.5346454533941236,10,0.8701377279635258,0.041008190515544954,0.8464072354673252,0.8928883057877407,10,0.24145635170225682,0.02462910997195047,0.22722302886956466,0.2553595133250703,10,3.583072869904572,0.10698134476948311,3.526236228154303,3.642865554381133,10,0.4620922123081982,0.0040000938825518265,0.45980083878894223,0.4644604624860222
