bootstrap_id,auc_mean,auc_std,n_train_pretrain,n_train_cc18
83,0.9736111111111111,0.037203042322163565,60,60
84,0.9833333333333332,0.03352088440596438,60,60
85,0.976388888888889,0.030110393595387246,60,60
86,0.9736111111111111,0.03621779114001472,60,60
87,0.9777777777777776,0.02837891214125355,60,60
88,0.9805555555555555,0.03234948527458923,60,60
89,0.976388888888889,0.041550764726810005,60,60
90,0.9708333333333334,0.054326686710022075,60,60
91,0.9736111111111111,0.040611643103370725,60,60
92,0.9819444444444445,0.036615073129066866,60,60
93,0.9694444444444444,0.04183991758720022,60,60
94,0.9569444444444445,0.08119359390591123,60,60
95,0.9722222222222221,0.04049272149198129,60,60
96,0.9638888888888888,0.03308647013769886,60,60
97,0.9791666666666666,0.03540985773328324,60,60
98,0.9805555555555554,0.029216227733281457,60,60
99,0.975,0.034583054438857605,60,60
100,0.9680555555555556,0.038540102570865584,60,60
101,0.9708333333333334,0.036877550131532696,60,60
102,0.975,0.033159267739759246,60,60
103,0.9680555555555556,0.03946742288439668,60,60
104,0.9805555555555555,0.03234948527458923,60,60
105,0.9819444444444445,0.03315926773975925,60,60
106,0.976388888888889,0.036615073129066866,60,60
107,0.975,0.0345830544388576,60,60
108,0.9722222222222221,0.03366444345428006,60,60
109,0.9597222222222221,0.04745652656463857,60,60
110,0.9652777777777779,0.0430891446041349,60,60
111,0.9736111111111111,0.032720052748304876,60,60
112,0.975,0.027603620714377476,60,60
113,0.9736111111111111,0.04403018745596491,60,60
114,0.9666666666666668,0.05182807821401466,60,60
115,0.9791666666666666,0.029462782549439508,60,60
116,0.9569444444444445,0.06141025269287262,60,60
117,0.9805555555555555,0.03621779114001473,60,60
118,0.9625,0.03492993427766472,60,60
119,0.9805555555555554,0.031974623425614836,60,60
120,0.9708333333333334,0.038162865733428065,60,60
121,0.9680555555555556,0.04353452227404851,60,60
122,0.9680555555555556,0.041839917587200216,60,60
123,0.976388888888889,0.03458305443885761,60,60
124,0.9583333333333333,0.038975597778895234,60,60
125,0.9819444444444445,0.036615073129066866,60,60
126,0.9805555555555555,0.043479099562495904,60,60
127,0.9791666666666666,0.035409857733283236,60,60
128,0.9666666666666666,0.033448873829978625,60,60
129,0.9736111111111111,0.030822695862739106,60,60
130,0.9638888888888889,0.05921131596470059,60,60
131,0.9736111111111111,0.034513260110525475,60,60
132,0.9722222222222221,0.039283710065919304,60,60
133,0.976388888888889,0.03458305443885761,60,60
134,0.975,0.04462852503627671,60,60
135,0.975,0.030508170328456666,60,60
136,0.9722222222222221,0.05079423207752711,60,60
137,0.9777777777777779,0.031595314350214815,60,60
138,0.9791666666666666,0.04280843057617344,60,60
139,0.9833333333333334,0.03352088440596438,60,60
140,0.976388888888889,0.03387864143791797,60,60
141,0.9819444444444445,0.036615073129066866,60,60
142,0.9791666666666666,0.03897559777889526,60,60
143,0.9666666666666666,0.04430316085482387,60,60
144,0.9708333333333334,0.03720304232216355,60,60
145,0.975,0.04826263987192789,60,60
146,0.9791666666666667,0.03182344232608225,60,60
147,0.9763888888888888,0.03758991278534548,60,60
148,0.9694444444444444,0.03595049751540216,60,60
149,0.9777777777777776,0.035204977376768275,60,60
150,0.9694444444444444,0.03946742288439675,60,60
151,0.976388888888889,0.03527340305333415,60,60
152,0.9583333333333333,0.041955020741647836,60,60
153,0.975,0.0356135594582169,60,60
154,0.9791666666666666,0.03928371006591931,60,60
155,0.9722222222222221,0.04419417382415924,60,60
156,0.9722222222222221,0.044194173824159196,60,60
157,0.9791666666666666,0.03540985773328324,60,60
158,0.9736111111111111,0.03272005274830486,60,60
159,0.9722222222222221,0.031442309507421606,60,60
160,0.9805555555555555,0.039711051265266153,60,60
161,0.975,0.02803698505303663,60,60
162,0.9777777777777779,0.035204977376768275,60,60
163,0.9708333333333334,0.0341621496562468,60,60
