task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,n_valid_folds,error
45,46,splice,3.0,Multiclass,3190,60,3,2.1577574967405475,0.896551724137931,0.88918078328351,0.896551724137931,0.8913297215093622,0.8871572871572871,0.9772399317853863,0.2674788911021253,3.385078949970193,1.0702649999875575,2871.0,319.0,42,10,
45,46,splice,4.0,Multiclass,3190,60,3,2.1577574967405475,0.9435736677115988,0.9380399245649721,0.9435736677115988,0.9402801323759408,0.9359307359307358,0.9888876963257127,0.19458972238814057,3.484770759008825,1.068551552016288,2871.0,319.0,42,10,
45,46,splice,5.0,Multiclass,3190,60,3,2.1577574967405475,0.9184952978056427,0.9068008923999707,0.9184952978056427,0.9113794885957273,0.9030091658500029,0.9899905328038184,0.20103476248354396,3.593114973977208,1.0701835930231027,2871.0,319.0,42,10,
45,46,splice,6.0,Multiclass,3190,60,3,2.1577574967405475,0.9216300940438872,0.9135353109854694,0.9216300940438872,0.9212944958647689,0.9073951307622835,0.9761664436284702,0.27290955247829796,3.228352180973161,1.0753776140045375,2871.0,319.0,42,10,
45,46,splice,7.0,Multiclass,3190,60,3,2.1577574967405475,0.9278996865203761,0.924211640921969,0.9278996865203761,0.9195436507936509,0.9302637755396157,0.9891796907287248,0.19385791586950157,3.3043953659944236,1.0741179499891587,2871.0,319.0,42,10,
45,46,splice,8.0,Multiclass,3190,60,3,2.1577574967405475,0.9184952978056427,0.911858813700919,0.9184952978056427,0.9162305441282497,0.9079928737506417,0.9842456187630887,0.22198038519264512,3.3211218809592538,1.0838739189784974,2871.0,319.0,42,10,
45,46,splice,9.0,Multiclass,3190,60,3,2.1577574967405475,0.9341692789968652,0.9309551285497619,0.9341692789968652,0.9281668307707843,0.9342228792133676,0.9912385289150447,0.18285269723735903,3.5714422750170343,1.0685846490086988,2871.0,319.0,42,10,
49,50,tic-tac-toe,0.0,Binary,958,9,2,1.8855421686746987,0.9583333333333334,0.9523573200992556,0.9583333333333334,0.9701492537313433,0.9393939393939394,1.0,0.07915314089884158,3.2143954189959913,0.24748820200329646,862.0,96.0,42,10,
49,50,tic-tac-toe,1.0,Binary,958,9,2,1.8855421686746987,1.0,1.0,1.0,1.0,1.0,1.0,0.009456593617852673,3.237729308020789,0.25504653999814764,862.0,96.0,42,10,
49,50,tic-tac-toe,2.0,Binary,958,9,2,1.8855421686746987,1.0,1.0,1.0,1.0,1.0,1.0,0.009890368160764726,3.233225705975201,0.2528205760172568,862.0,96.0,42,10,
