episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
67,1.800291,0.655144,0.647059,0.650746,0.506685,0.493198,2,14,345,107,0,3,4000,0.5,False,False,0.0,4,1,0.672897
68,1.734887,1.068338,0.436275,1.068749,0.494613,0.573291,3,15,327,123,0,3,4000,0.5,False,False,0.0,4,1,0.455285
69,1.394123,0.682142,0.572917,0.684373,0.514461,0.505736,2,15,159,63,0,3,4000,0.5,False,False,0.0,4,1,0.603175
70,1.813299,0.797434,0.597938,0.810103,0.499542,0.479805,3,15,204,107,0,3,4000,0.5,False,False,0.0,4,1,0.682243
71,1.800551,0.692035,0.529730,0.691506,0.498680,0.511057,2,13,323,138,0,3,4000,0.5,False,False,0.0,4,1,0.521739
72,1.737238,0.892164,0.617647,0.871181,0.514525,0.551449,3,15,210,142,0,3,4000,0.5,False,False,0.0,4,1,0.492958
73,1.862339,0.668958,0.612613,0.669156,0.488072,0.485371,2,13,347,236,0,3,4000,0.5,False,False,0.0,4,1,0.639831
74,1.691251,0.666624,0.634731,0.656445,0.506338,0.549920,2,14,353,186,0,3,4000,0.5,False,False,0.0,4,1,0.639785
75,1.679767,0.677220,0.621212,0.666776,0.492975,0.504497,2,12,269,203,0,3,4000,0.5,False,False,0.0,4,1,0.581281
76,1.665057,0.690723,0.537500,0.690501,0.506538,0.501083,2,12,155,75,0,3,4000,0.5,False,False,0.0,4,1,0.546667
77,1.393483,0.699441,0.403061,0.705475,0.491966,0.515503,2,12,232,36,0,3,4000,0.5,False,False,0.0,4,1,0.527778
78,1.684117,0.691957,0.519126,0.695091,0.479220,0.551069,2,14,345,162,0,3,4000,0.5,False,False,0.0,4,1,0.555556
79,1.440332,0.789343,0.742647,0.747835,0.489365,0.555490,3,12,167,31,0,3,4000,0.5,False,False,0.0,4,1,0.612903
80,1.800595,0.886016,0.666667,0.861554,0.500314,0.505457,3,10,294,255,0,3,4000,0.5,False,False,0.0,4,1,0.639216
81,1.549492,0.552586,0.817460,0.514834,0.513048,0.506204,2,10,175,49,0,3,4000,0.5,False,False,0.0,4,1,0.693878
82,1.905729,0.933662,0.600000,0.950884,0.526759,0.507432,3,15,263,143,0,3,4000,0.5,False,False,0.0,4,1,0.685315
83,1.824669,1.001788,0.579545,0.984645,0.534424,0.530649,3,14,378,114,0,3,4000,0.5,False,False,0.0,4,1,0.482456
84,1.491902,0.592773,0.791946,0.549677,0.484402,0.655506,2,8,179,30,0,3,4000,0.5,False,False,0.0,4,1,0.666667
85,1.693053,0.687240,0.588235,0.681837,0.507016,0.570212,2,15,354,286,0,3,4000,0.5,False,False,0.0,4,1,0.541958
86,1.979291,0.687009,0.574803,0.684899,0.496205,0.487980,2,11,364,110,0,3,4000,0.5,False,False,0.0,4,1,0.536364
87,1.454638,0.650061,0.650602,0.648113,0.500823,0.506571,2,11,144,61,0,3,4000,0.5,False,False,0.0,4,1,0.672131
88,1.912673,0.596573,0.763359,0.558356,0.497716,0.512709,2,11,289,158,0,3,4000,0.5,False,False,0.0,4,1,0.696203
89,1.858530,0.614277,0.736842,0.581464,0.490761,0.531449,2,13,135,97,0,3,4000,0.5,False,False,0.0,4,1,0.690722
90,1.685813,0.631833,0.709677,0.602922,0.504072,0.499288,2,14,251,220,0,3,4000,0.5,False,False,0.0,4,1,0.695455
91,1.753903,0.867176,0.488372,0.884109,0.490191,0.599447,3,11,230,187,0,3,4000,0.5,False,False,0.0,4,1,0.59893
92,1.423482,0.957022,0.580745,0.982384,0.519644,0.488780,3,12,370,48,0,3,4000,0.5,False,False,0.0,4,1,0.6875
93,1.917209,1.053060,0.451128,1.053774,0.511319,0.502199,3,13,206,73,0,3,4000,0.5,False,False,0.0,4,1,0.438356
94,1.712171,0.665474,0.655914,0.644272,0.495645,0.561088,2,12,354,261,0,3,4000,0.5,False,False,0.0,4,1,0.639847
95,1.783273,0.615590,0.748971,0.575534,0.497325,0.495659,2,13,361,118,0,3,4000,0.5,False,False,0.0,4,1,0.677966
