episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
122,1.463440,1.577895,0.357143,1.576940,0.569467,0.524394,6,30,183,127,127,3,2730,0.5,True,False,0.0,3,1,0.370079
123,1.466953,0.994546,0.648045,0.971539,0.531187,0.516806,4,21,342,163,163,3,2730,0.5,True,False,0.0,3,1,0.668712
124,1.463802,0.690945,0.562791,0.690568,0.481391,0.745840,2,29,348,133,133,3,2730,0.5,True,False,0.0,2,1,0.511278
125,1.457020,0.692420,0.536697,0.691192,0.493367,0.514721,2,22,361,143,143,3,2730,0.5,True,False,0.0,2,1,0.517483
126,1.451001,0.689430,0.569892,0.684418,0.513952,0.494498,2,26,349,256,256,3,2730,0.5,True,False,0.0,2,1,0.546875
127,1.480124,1.069872,0.452055,1.070044,0.486719,0.485621,3,10,247,101,101,3,2730,0.5,True,False,0.0,2,1,0.475248
128,1.462755,1.623312,0.333333,1.617377,0.516936,0.497915,6,21,165,123,123,3,2730,0.5,True,False,0.0,3,1,0.268293
129,1.461348,0.644936,0.732394,0.589074,0.501447,0.516901,2,23,363,150,150,3,2730,0.5,True,False,0.0,2,1,0.673333
130,1.463957,1.431181,0.482759,1.424182,0.515516,0.510448,5,12,351,119,119,3,2730,0.5,True,False,0.0,3,1,0.478992
131,1.445364,0.693342,0.500000,0.693845,0.507383,0.516897,2,5,353,241,241,3,2730,0.5,True,False,0.0,2,1,0.518672
132,1.456934,1.498435,0.500000,1.502283,0.588181,0.538243,6,10,330,244,244,3,2730,0.5,True,False,0.0,3,1,0.553279
133,1.462014,1.311549,0.367521,1.321134,0.502602,0.565934,4,26,363,246,246,3,2730,0.5,True,False,0.0,3,1,0.443089
134,1.454968,1.458853,0.425743,1.457812,0.582518,0.504411,5,24,179,78,78,3,2730,0.5,True,False,0.0,3,1,0.410256
135,1.467950,0.657433,0.698198,0.615220,0.488822,0.550097,2,22,311,89,89,3,2730,0.5,True,False,0.0,2,1,0.662921
136,1.462981,1.171826,0.542017,1.153344,0.525968,0.611307,4,21,291,53,53,3,2730,0.5,True,False,0.0,3,1,0.528302
137,1.461592,0.645913,0.759036,0.581667,0.505370,0.496889,2,18,265,99,99,3,2730,0.5,True,False,0.0,2,1,0.646465
138,1.467241,1.684937,0.336842,1.690769,0.565894,0.482413,6,30,162,67,67,3,2730,0.5,True,False,0.0,3,1,0.358209
139,1.477521,1.666086,0.210526,1.670348,0.539778,0.436243,6,26,120,63,63,3,2730,0.5,True,False,0.0,3,1,0.285714
140,1.465750,0.686090,0.559846,0.720229,0.493015,0.493473,2,26,332,73,73,3,2730,0.5,True,False,0.0,2,1,0.684932
141,1.449155,1.061786,0.661290,1.021992,0.523326,0.477485,5,28,367,305,305,3,2730,0.5,True,False,0.0,3,1,0.652459
142,1.452252,1.372114,0.542553,1.370404,0.476807,0.550894,6,21,348,254,254,3,2730,0.5,True,False,0.0,3,1,0.590551
143,1.455908,1.537265,0.413043,1.548982,0.581223,0.551216,6,8,259,213,213,3,2730,0.5,True,False,0.0,3,1,0.492958
144,1.468447,0.685197,0.575758,0.684569,0.492744,0.506041,2,13,183,150,150,3,2730,0.5,True,False,0.0,2,1,0.613333
145,1.457824,1.112706,0.630137,1.075722,0.508606,0.500882,4,25,303,230,230,3,2730,0.5,True,False,0.0,3,1,0.573913
146,1.456433,0.699607,0.377358,0.715020,0.502535,0.526465,2,16,209,156,156,3,2730,0.5,True,False,0.0,2,1,0.538462
147,1.487022,0.664395,0.680000,0.632905,0.504342,0.497846,2,11,178,153,153,3,2730,0.5,True,False,0.0,2,1,0.627451
