episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
63,2.059829,0.640872,0.730159,0.595700,0.507795,0.499919,2,9,253,64,64,3,2730,0.5,True,True,0.5,2,1,0.65625
64,2.040350,0.628540,0.748387,0.573179,0.503353,0.483113,2,28,334,179,179,3,2730,0.5,True,True,0.5,2,1,0.687151
65,2.065121,0.651400,0.660714,0.644151,0.476857,0.551943,2,10,218,50,50,3,2730,0.5,True,True,0.5,2,1,0.7
66,2.021878,1.544543,0.222222,1.562341,0.601121,0.460464,5,30,147,129,129,3,2730,0.5,True,True,0.5,3,1,0.364341
67,2.067782,1.367110,0.555556,1.340468,0.520091,0.475509,6,7,139,103,103,3,2730,0.5,True,True,0.5,3,1,0.475728
68,2.047856,1.416576,0.419355,1.412851,0.547518,0.577172,5,28,162,69,69,3,2730,0.5,True,True,0.5,3,1,0.391304
69,2.059494,0.690395,0.544248,0.689278,0.494489,0.632293,2,8,368,142,142,3,2730,0.5,True,True,0.5,2,1,0.549296
70,2.048228,0.658865,0.741176,0.615770,0.493909,0.527041,2,29,155,70,70,3,2730,0.5,True,True,0.5,2,1,0.6
71,2.066655,0.702584,0.506494,0.763802,0.508587,0.465014,2,8,263,32,32,3,2730,0.5,True,True,0.5,2,1,0.6875
72,2.037676,0.637186,0.732283,0.589629,0.498624,0.874989,2,32,398,271,271,3,2730,0.5,True,True,0.5,2,1,0.671587
73,2.055766,1.610386,0.450000,1.599241,0.520522,0.501552,6,18,396,316,316,3,2730,0.5,True,True,0.5,3,1,0.357595
74,2.048565,1.291247,0.359307,1.290298,0.529222,0.513285,4,31,323,92,92,3,2730,0.5,True,True,0.5,3,1,0.380435
75,2.052913,0.672212,0.625641,0.661236,0.487318,0.492373,2,21,377,182,182,3,2730,0.5,True,True,0.5,2,1,0.626374
76,2.061033,0.599304,0.822034,0.510026,0.491323,0.484922,2,18,282,46,46,3,2730,0.5,True,True,0.5,2,1,0.695652
77,2.034953,1.224406,0.516129,1.218145,0.523011,0.514897,4,14,362,269,269,3,2730,0.5,True,True,0.5,3,1,0.527881
78,2.072354,1.578548,0.374332,1.582906,0.492820,0.478601,6,5,380,193,193,3,2730,0.5,True,True,0.5,3,1,0.414508
79,2.050474,1.447497,0.476190,1.446092,0.555282,0.488006,5,10,170,149,149,3,2730,0.5,True,True,0.5,3,1,0.389262
80,2.032738,0.690626,0.548387,0.688851,0.515526,0.499149,2,15,220,189,189,3,2730,0.5,True,True,0.5,2,1,0.534392
81,2.079921,0.693313,0.450000,0.693147,0.491068,0.524086,2,4,352,272,272,3,2730,0.5,True,True,0.5,2,1,0.5
82,2.048929,1.251465,0.395833,1.255025,0.517680,0.528819,4,16,216,72,72,3,2730,0.5,True,True,0.5,3,1,0.444444
83,2.041224,1.321975,0.416667,1.367782,0.538547,0.528537,4,22,159,75,75,3,2730,0.5,True,True,0.5,3,1,0.586667
84,2.041310,0.663769,0.658228,0.642944,0.487049,0.484158,2,13,315,236,236,3,2730,0.5,True,True,0.5,2,1,0.639831
85,2.034403,0.682886,0.578125,0.687897,0.500926,0.522761,2,30,322,258,258,3,2730,0.5,True,True,0.5,2,1,0.635659
86,2.044251,1.107594,0.520661,1.105838,0.573413,0.553907,4,10,322,201,201,3,2730,0.5,True,True,0.5,3,1,0.542289
87,2.074489,1.125732,0.487805,1.130465,0.656003,0.729433,4,20,302,56,56,3,2730,0.5,True,True,0.5,3,1,0.535714
88,2.087354,0.676789,0.606383,0.671570,0.510314,0.505205,2,6,234,46,46,3,2730,0.5,True,True,0.5,2,1,0.630435
89,2.060358,1.262587,0.446429,1.256700,0.481993,0.487203,4,17,253,197,197,3,2730,0.5,True,True,0.5,3,1,0.406091
90,2.054307,0.692718,0.529412,0.692243,0.505872,0.500012,2,22,356,220,220,3,2730,0.5,True,True,0.5,2,1,0.509091
91,2.058927,0.677422,0.602410,0.673463,0.501742,0.519598,2,7,336,253,253,3,2730,0.5,True,True,0.5,2,1,0.628458
92,2.037929,0.665330,0.642857,0.651778,0.504629,0.496453,2,24,248,136,136,3,2730,0.5,True,True,0.5,2,1,0.639706
93,2.023094,0.691371,0.539007,0.712798,0.503186,0.540606,2,31,211,70,70,3,2730,0.5,True,True,0.5,2,1,0.642857
94,2.057152,0.853526,0.525510,0.867388,0.639547,0.525420,3,6,321,125,125,3,2730,0.5,True,True,0.5,2,1,0.6
95,2.062438,1.292021,0.298969,1.285350,0.510028,0.505385,4,14,238,44,44,3,2730,0.5,True,True,0.5,3,1,0.318182
96,2.060344,0.656886,0.662162,0.640923,0.497170,0.509607,2,17,125,51,51,3,2730,0.5,True,True,0.5,2,1,0.686275
97,2.040421,0.669881,0.613924,0.674921,0.500938,0.514633,2,27,250,92,92,3,2730,0.5,True,True,0.5,2,1,0.673913
98,2.050225,0.686017,0.563636,0.705620,0.486856,0.504697,2,16,185,130,130,3,2730,0.5,True,True,0.5,2,1,0.661538
99,2.057608,0.673197,0.632530,0.657849,0.501588,0.534873,2,12,203,37,37,3,2730,0.5,True,True,0.5,2,1,0.621622
100,2.051472,0.617463,0.767442,0.553721,0.511503,0.495352,2,26,213,170,170,3,2730,0.5,True,True,0.5,2,1,0.7
